Test Type,Port Number / Nameserver,Result of Test
Port Egress,325,open
Port Egress,324,open
Port Egress,326,open
Port Egress,327,open
Port Egress,328,open
Port Egress,330,open
Port Egress,329,open
Port Egress,331,open
Port Egress,333,open
Port Egress,332,open
Port Egress,334,open
Port Egress,335,open
Port Egress,336,open
Port Egress,337,open
Port Egress,338,open
Port Egress,339,open
Port Egress,340,open
Port Egress,342,open
Port Egress,343,open
Port Egress,341,open
Port Egress,344,open
Port Egress,345,open
Port Egress,346,open
Port Egress,347,open
Port Egress,348,open
Port Egress,349,open
Port Egress,350,open
Port Egress,351,open
Port Egress,352,open
Port Egress,353,open
Port Egress,354,open
Port Egress,356,open
Port Egress,355,open
Port Egress,357,open
Port Egress,358,open
Port Egress,360,open
Port Egress,359,open
Port Egress,361,open
Port Egress,363,open
Port Egress,362,open
Port Egress,364,open
Port Egress,365,open
Port Egress,366,open
Port Egress,367,open
Port Egress,368,open
Port Egress,369,open
Port Egress,371,open
Port Egress,370,open
Port Egress,372,open
Port Egress,373,open
Port Egress,374,open
Port Egress,376,open
Port Egress,375,open
Port Egress,377,open
Port Egress,378,open
Port Egress,379,open
Port Egress,380,open
Port Egress,381,open
Port Egress,382,open
Port Egress,383,open
Port Egress,384,open
Port Egress,385,open
Port Egress,386,open
Port Egress,387,open
Port Egress,388,open
Port Egress,389,open
Port Egress,390,open
Port Egress,391,open
Port Egress,392,open
Port Egress,393,open
Port Egress,394,open
Port Egress,395,open
Port Egress,396,open
Port Egress,397,open
Port Egress,398,open
Port Egress,399,open
Port Egress,400,open
Port Egress,401,open
Port Egress,402,open
Port Egress,403,open
Port Egress,405,open
Port Egress,404,open
Port Egress,406,open
Port Egress,407,open
Port Egress,408,open
Port Egress,409,open
Port Egress,410,open
Port Egress,411,open
Port Egress,412,open
Port Egress,413,open
Port Egress,414,open
Port Egress,415,open
Port Egress,416,open
Port Egress,417,open
Port Egress,418,open
Port Egress,419,open
Port Egress,420,open
Port Egress,421,open
Port Egress,422,open
Port Egress,423,open
Port Egress,424,open
Port Egress,425,open
Port Egress,426,open
Port Egress,427,open
Port Egress,428,open
Port Egress,430,open
Port Egress,429,open
Port Egress,431,open
Port Egress,432,open
Port Egress,433,open
Port Egress,434,open
Port Egress,436,open
Port Egress,435,open
Port Egress,437,open
Port Egress,438,open
Port Egress,440,open
Port Egress,439,open
Port Egress,443,open
Port Egress,441,open
Port Egress,442,open
Port Egress,444,open
Port Egress,447,open
Port Egress,446,open
Port Egress,448,open
Port Egress,449,open
Port Egress,450,open
Port Egress,451,open
Port Egress,452,open
Port Egress,453,open
Port Egress,454,open
Port Egress,455,open
Port Egress,456,open
Port Egress,457,open
Port Egress,458,open
Port Egress,459,open
Port Egress,460,open
Port Egress,461,open
Port Egress,462,open
Port Egress,463,open
Port Egress,464,open
Port Egress,465,open
Port Egress,466,open
Port Egress,468,open
Port Egress,469,open
Port Egress,467,open
Port Egress,471,open
Port Egress,470,open
Port Egress,472,open
Port Egress,474,open
Port Egress,473,open
Port Egress,475,open
Port Egress,476,open
Port Egress,477,open
Port Egress,478,open
Port Egress,479,open
Port Egress,481,open
Port Egress,480,open
Port Egress,482,open
Port Egress,483,open
Port Egress,484,open
Port Egress,485,open
Port Egress,486,open
Port Egress,487,open
Port Egress,488,open
Port Egress,490,open
Port Egress,489,open
Port Egress,491,open
Port Egress,492,open
Port Egress,493,open
Port Egress,494,open
Port Egress,495,open
Port Egress,496,open
Port Egress,498,open
Port Egress,497,open
Port Egress,499,open
Port Egress,501,open
Port Egress,500,open
