Test Type,Port Number / Nameserver,Result of Test
Port Egress,9563,open
Port Egress,9564,open
Port Egress,9565,open
Port Egress,9566,open
Port Egress,9567,open
Port Egress,9568,open
Port Egress,9569,open
Port Egress,9570,open
Port Egress,9571,open
Port Egress,9573,open
Port Egress,9572,open
Port Egress,9574,open
Port Egress,9575,open
Port Egress,9576,open
Port Egress,9577,open
Port Egress,9578,open
Port Egress,9580,open
Port Egress,9579,open
Port Egress,9581,open
Port Egress,9582,open
Port Egress,9584,open
Port Egress,9583,open
Port Egress,9585,open
Port Egress,9587,open
Port Egress,9586,open
Port Egress,9588,open
Port Egress,9589,open
Port Egress,9590,open
Port Egress,9591,open
Port Egress,9592,open
Port Egress,9593,open
Port Egress,9595,open
Port Egress,9594,open
Port Egress,9596,open
Port Egress,9597,open
Port Egress,9598,open
Port Egress,9599,open
Port Egress,9600,open
Port Egress,9601,open
Port Egress,9602,open
Port Egress,9603,open
Port Egress,9605,open
Port Egress,9604,open
Port Egress,9606,open
Port Egress,9607,open
Port Egress,9609,open
Port Egress,9608,open
Port Egress,9610,open
Port Egress,9611,open
Port Egress,9612,open
Port Egress,9613,open
Port Egress,9614,open
Port Egress,9615,open
Port Egress,9616,open
Port Egress,9617,open
Port Egress,9618,open
Port Egress,9619,open
Port Egress,9620,open
Port Egress,9621,open
Port Egress,9623,open
Port Egress,9622,open
Port Egress,9624,open
Port Egress,9625,open
Port Egress,9626,open
Port Egress,9627,open
Port Egress,9628,open
Port Egress,9629,open
Port Egress,9630,open
Port Egress,9631,open
Port Egress,9632,open
Port Egress,9633,open
Port Egress,9634,open
Port Egress,9635,open
Port Egress,9636,open
Port Egress,9637,open
Port Egress,9639,open
Port Egress,9638,open
Port Egress,9640,open
Port Egress,9641,open
Port Egress,9642,open
Port Egress,9643,open
Port Egress,9644,open
Port Egress,9646,open
Port Egress,9645,open
Port Egress,9647,open
Port Egress,9648,open
Port Egress,9649,open
Port Egress,9650,open
Port Egress,9553,open
Port Egress,9651,open
Port Egress,9652,open
Port Egress,9653,open
Port Egress,9654,open
Port Egress,9655,open
Port Egress,9656,open
Port Egress,9657,open
Port Egress,9658,open
Port Egress,9659,open
Port Egress,9660,open
Port Egress,9661,open
Port Egress,9662,open
Port Egress,9663,open
Port Egress,9664,open
Port Egress,9665,open
Port Egress,9666,open
Port Egress,9667,open
Port Egress,9668,open
Port Egress,9669,open
Port Egress,9670,open
Port Egress,9671,open
Port Egress,9672,open
Port Egress,9673,open
Port Egress,9674,open
Port Egress,9675,open
Port Egress,9676,open
Port Egress,9677,open
Port Egress,9678,open
Port Egress,9679,open
Port Egress,9680,open
Port Egress,9681,open
Port Egress,9682,open
Port Egress,9683,open
Port Egress,9684,open
Port Egress,9685,open
Port Egress,9686,open
Port Egress,9688,open
Port Egress,9687,open
Port Egress,9689,open
Port Egress,9690,open
Port Egress,9691,open
Port Egress,9692,open
Port Egress,9693,open
Port Egress,9694,open
Port Egress,9695,open
Port Egress,9696,open
Port Egress,9697,open
Port Egress,9698,open
Port Egress,9699,open
Port Egress,9700,open
Port Egress,9701,open
Port Egress,9702,open
Port Egress,9703,open
Port Egress,9704,open
Port Egress,9705,open
Port Egress,9706,open
Port Egress,9707,open
Port Egress,9708,open
Port Egress,9709,open
Port Egress,9710,open
Port Egress,9711,open
Port Egress,9712,open
Port Egress,9713,open
Port Egress,9714,open
Port Egress,9715,open
Port Egress,9716,open
Port Egress,9717,open
Port Egress,9718,open
Port Egress,9719,open
Port Egress,9720,open
Port Egress,9721,open
Port Egress,9722,open
Port Egress,9723,open
Port Egress,9725,open
Port Egress,9724,open
Port Egress,9726,open
Port Egress,9728,open
Port Egress,9727,open
Port Egress,9729,open
Port Egress,9730,open
Port Egress,9731,open
Port Egress,9732,open
Port Egress,9734,open
Port Egress,9733,open
Port Egress,9735,open
Port Egress,9736,open
Port Egress,9737,open
Port Egress,9738,open
Port Egress,9739,open
Port Egress,9740,open
Port Egress,9741,open
Port Egress,9742,open
Port Egress,9743,open
Port Egress,9744,open
Port Egress,9745,open
Port Egress,9746,open
Port Egress,9747,open
Port Egress,9748,open
Port Egress,9749,open
Port Egress,9750,open
Port Egress,9751,open
Port Egress,9752,open
Port Egress,9753,open
Port Egress,9754,open
Port Egress,9755,open
Port Egress,9756,open
Port Egress,9757,open
Port Egress,9758,open
Port Egress,9759,open
Port Egress,9760,open
Port Egress,9761,open
Port Egress,9762,open
Port Egress,9763,open
Port Egress,9765,open
Port Egress,9764,open
Port Egress,9766,open
Port Egress,9769,open
Port Egress,9767,open
Port Egress,9768,open
Port Egress,9770,open
Port Egress,9771,open
Port Egress,9772,open
Port Egress,9773,open
Port Egress,9774,open
Port Egress,9775,open
Port Egress,9776,open
Port Egress,9777,open
Port Egress,9778,open
Port Egress,9780,open
Port Egress,9779,open
Port Egress,9782,open
Port Egress,9781,open
Port Egress,9783,open
Port Egress,9785,open
Port Egress,9784,open
Port Egress,9786,open
Port Egress,9787,open
Port Egress,9788,open
Port Egress,9789,open
Port Egress,9790,open
Port Egress,9791,open
Port Egress,9792,open
Port Egress,9793,open
Port Egress,9794,open
Port Egress,9795,open
Port Egress,9797,open
Port Egress,9796,open
Port Egress,9798,open
Port Egress,9799,open
Port Egress,9800,open
Port Egress,9801,open
Port Egress,9802,open
Port Egress,9803,open
Port Egress,9804,open
Port Egress,9805,open
Port Egress,9807,open
Port Egress,9806,open
Port Egress,9809,open
Port Egress,9808,open
Port Egress,9810,open
Port Egress,9812,open
Port Egress,9811,open
Port Egress,9813,open
Port Egress,9814,open
Port Egress,9815,open
Port Egress,9816,open
Port Egress,9817,open
Port Egress,9818,open
Port Egress,9819,open
Port Egress,9820,open
Port Egress,9821,open
Port Egress,9822,open
Port Egress,9823,open
Port Egress,9824,open
Port Egress,9825,open
Port Egress,9826,open
Port Egress,9827,open
Port Egress,9828,open
Port Egress,9830,open
Port Egress,9829,open
Port Egress,9831,open
Port Egress,9832,open
Port Egress,9833,open
Port Egress,9834,open
Port Egress,9835,open
Port Egress,9836,open
Port Egress,9837,open
Port Egress,9838,open
Port Egress,9839,open
Port Egress,9840,open
Port Egress,9841,open
Port Egress,9842,open
Port Egress,9844,open
Port Egress,9843,open
Port Egress,9845,open
Port Egress,9846,open
Port Egress,9848,open
Port Egress,9847,open
Port Egress,9849,open
Port Egress,9850,open
Port Egress,9851,open
Port Egress,9852,open
Port Egress,9853,open
Port Egress,9854,open
Port Egress,9855,open
Port Egress,9856,open
Port Egress,9857,open
Port Egress,9858,open
Port Egress,9859,open
Port Egress,9860,open
Port Egress,9861,open
Port Egress,9862,open
Port Egress,9863,open
Port Egress,9865,open
Port Egress,9864,open
Port Egress,9866,open
Port Egress,9867,open
Port Egress,9868,open
Port Egress,9869,open
Port Egress,9870,open
Port Egress,9871,open
Port Egress,9872,open
Port Egress,9873,open
Port Egress,9874,open
Port Egress,9875,open
Port Egress,9876,open
Port Egress,9877,open
Port Egress,9878,open
Port Egress,9879,open
Port Egress,9881,open
Port Egress,9880,open
Port Egress,9882,open
Port Egress,9883,open
Port Egress,9884,open
Port Egress,9885,open
Port Egress,9886,open
Port Egress,9887,open
Port Egress,9888,open
Port Egress,9889,open
Port Egress,9890,open
Port Egress,9891,open
Port Egress,9892,open
Port Egress,9893,open
Port Egress,9894,open
Port Egress,9895,open
Port Egress,9897,open
Port Egress,9896,open
Port Egress,9898,open
Port Egress,9899,open
Port Egress,9900,open
Port Egress,9901,open
Port Egress,9902,open
Port Egress,9904,open
Port Egress,9903,open
Port Egress,9905,open
Port Egress,9907,open
Port Egress,9906,open
Port Egress,9908,open
Port Egress,9909,open
Port Egress,9910,open
Port Egress,9911,open
Port Egress,9912,open
Port Egress,9913,open
Port Egress,9914,open
Port Egress,9915,open
Port Egress,9916,open
Port Egress,9917,open
Port Egress,9919,open
Port Egress,9918,open
Port Egress,9920,open
Port Egress,9921,open
Port Egress,9923,open
Port Egress,9922,open
Port Egress,9924,open
Port Egress,9925,open
Port Egress,9926,open
Port Egress,9927,open
Port Egress,9928,open
Port Egress,9929,open
Port Egress,9930,open
Port Egress,9931,open
Port Egress,9932,open
Port Egress,9933,open
Port Egress,9934,open
Port Egress,9935,open
Port Egress,9936,open
Port Egress,9938,open
Port Egress,9937,open
Port Egress,9939,open
Port Egress,9940,open
Port Egress,9941,open
Port Egress,9942,open
Port Egress,9943,open
Port Egress,9944,open
Port Egress,9945,open
Port Egress,9946,open
Port Egress,9947,open
Port Egress,9948,open
Port Egress,9949,open
Port Egress,9950,open
Port Egress,9951,open
Port Egress,9952,open
Port Egress,9953,open
Port Egress,9954,open
Port Egress,9955,open
Port Egress,9956,open
Port Egress,9957,open
Port Egress,9958,open
Port Egress,9959,open
Port Egress,9960,open
Port Egress,9961,open
Port Egress,9962,open
Port Egress,9963,open
Port Egress,9964,open
Port Egress,9965,open
Port Egress,9966,open
Port Egress,9967,open
Port Egress,9968,open
Port Egress,9969,open
Port Egress,9970,open
Port Egress,9971,open
Port Egress,9972,open
Port Egress,9973,open
Port Egress,9974,open
Port Egress,9975,open
Port Egress,9976,open
Port Egress,9977,open
Port Egress,9978,open
Port Egress,9979,open
Port Egress,9980,open
Port Egress,9981,open
Port Egress,9982,open
Port Egress,9984,open
Port Egress,9983,open
Port Egress,9985,open
Port Egress,9986,open
Port Egress,9987,open
Port Egress,9988,open
Port Egress,9989,open
Port Egress,9990,open
Port Egress,9991,open
Port Egress,9992,open
Port Egress,9993,open
Port Egress,9994,open
Port Egress,9995,open
Port Egress,9996,open
Port Egress,9997,open
Port Egress,9998,open
Port Egress,9999,open
Port Egress,10000,open
Port Egress,10001,open
Port Egress,10002,open
Port Egress,10003,open
Port Egress,10004,open
Port Egress,10005,open
Port Egress,10006,open
Port Egress,10007,open
Port Egress,10009,open
Port Egress,10008,open
Port Egress,10013,open
Port Egress,10010,open
Port Egress,10011,open
Port Egress,10012,open
Port Egress,10014,open
Port Egress,10015,open
Port Egress,10016,open
Port Egress,10017,open
Port Egress,10018,open
Port Egress,10019,open
Port Egress,10020,open
Port Egress,10021,open
Port Egress,10022,open
Port Egress,10023,open
Port Egress,10024,open
Port Egress,10025,open
Port Egress,10026,open
Port Egress,10027,open
Port Egress,10028,open
Port Egress,10029,open
Port Egress,10030,open
Port Egress,10031,open
Port Egress,10032,open
Port Egress,10034,open
Port Egress,10033,open
Port Egress,10035,open
Port Egress,10036,open
Port Egress,10037,open
Port Egress,10038,open
Port Egress,10040,open
Port Egress,10039,open
Port Egress,10041,open
Port Egress,10042,open
Port Egress,10043,open
Port Egress,10044,open
Port Egress,10046,open
Port Egress,10045,open
Port Egress,10047,open
Port Egress,10048,open
Port Egress,10050,open
Port Egress,10049,open
Port Egress,10051,open
Port Egress,10052,open
Port Egress,10053,open
Port Egress,10054,open
Port Egress,10055,open
Port Egress,10056,open
Port Egress,10057,open
Port Egress,10058,open
Port Egress,10059,open
Port Egress,10060,open
Port Egress,10061,open
Port Egress,10062,open
Port Egress,10063,open
Port Egress,10064,open
Port Egress,10065,open
Port Egress,10066,open
Port Egress,10067,open
Port Egress,10068,open
Port Egress,10069,open
Port Egress,10070,open
Port Egress,10071,open
Port Egress,10072,open
Port Egress,10073,open
Port Egress,10074,open
Port Egress,10075,open
Port Egress,10076,open
Port Egress,10077,open
Port Egress,10078,open
Port Egress,10079,open
Port Egress,10081,open
Port Egress,10080,open
Port Egress,10082,open
Port Egress,10083,open
Port Egress,10084,open
Port Egress,10085,open
Port Egress,10086,open
Port Egress,10087,open
Port Egress,10088,open
Port Egress,10090,open
Port Egress,10089,open
Port Egress,10091,open
Port Egress,10092,open
Port Egress,10093,open
Port Egress,10094,open
Port Egress,10095,open
Port Egress,10096,open
Port Egress,10097,open
Port Egress,10098,open
Port Egress,10099,open
Port Egress,10100,open
Port Egress,10102,open
Port Egress,10101,open
Port Egress,10103,open
Port Egress,10104,open
Port Egress,10105,open
Port Egress,10106,open
Port Egress,10107,open
Port Egress,10108,open
Port Egress,10109,open
Port Egress,10111,open
Port Egress,10110,open
Port Egress,10112,open
Port Egress,10113,open
Port Egress,10114,open
Port Egress,10116,open
Port Egress,10115,open
Port Egress,10117,open
Port Egress,10119,open
Port Egress,10118,open
Port Egress,10120,open
Port Egress,10122,open
Port Egress,10121,open
Port Egress,10123,open
Port Egress,10124,open
Port Egress,10125,open
Port Egress,10127,open
Port Egress,10126,open
Port Egress,10128,open
Port Egress,10130,open
Port Egress,10129,open
Port Egress,10131,open
Port Egress,10132,open
Port Egress,10133,open
Port Egress,10134,open
Port Egress,10135,open
Port Egress,10136,open
Port Egress,10138,open
Port Egress,10137,open
Port Egress,10139,open
Port Egress,10140,open
Port Egress,10141,open
Port Egress,10142,open
Port Egress,10143,open
Port Egress,10144,open
Port Egress,10145,open
Port Egress,10146,open
Port Egress,10147,open
Port Egress,10148,open
Port Egress,10149,open
Port Egress,10150,open
Port Egress,10151,open
Port Egress,10152,open
Port Egress,10153,open
Port Egress,10154,open
Port Egress,10156,open
Port Egress,10155,open
Port Egress,10157,open
Port Egress,10158,open
Port Egress,10159,open
Port Egress,10160,open
Port Egress,10161,open
Port Egress,10162,open
Port Egress,10163,open
Port Egress,10164,open
Port Egress,10165,open
Port Egress,10166,open
Port Egress,10170,open
Port Egress,10169,open
Port Egress,10168,open
Port Egress,10167,open
Port Egress,10171,open
Port Egress,10172,open
Port Egress,10173,open
Port Egress,10174,open
Port Egress,10175,open
Port Egress,10176,open
Port Egress,10177,open
Port Egress,10178,open
Port Egress,10179,open
Port Egress,10180,open
Port Egress,10181,open
Port Egress,10182,open
Port Egress,10183,open
Port Egress,10184,open
Port Egress,10185,open
Port Egress,10186,open
Port Egress,10187,open
Port Egress,10188,open
Port Egress,10189,open
Port Egress,10190,open
Port Egress,10191,open
Port Egress,10192,open
Port Egress,10193,open
Port Egress,10194,open
Port Egress,10195,open
Port Egress,10196,open
Port Egress,10197,open
Port Egress,10198,open
Port Egress,10199,open
Port Egress,10200,open
Port Egress,10201,open
Port Egress,10203,open
Port Egress,10202,open
Port Egress,10204,open
Port Egress,10206,open
Port Egress,10205,open
Port Egress,10207,open
Port Egress,10208,open
Port Egress,10209,open
Port Egress,10210,open
Port Egress,10211,open
Port Egress,10214,open
Port Egress,10212,open
Port Egress,10213,open
Port Egress,10216,open
Port Egress,10215,open
Port Egress,10217,open
Port Egress,10219,open
Port Egress,10218,open
Port Egress,10220,open
Port Egress,10221,open
Port Egress,10222,open
Port Egress,10223,open
Port Egress,10224,open
Port Egress,10225,open
Port Egress,10226,open
Port Egress,10227,open
Port Egress,10228,open
Port Egress,10229,open
Port Egress,10230,open
Port Egress,10231,open
Port Egress,10232,open
Port Egress,10233,open
Port Egress,10234,open
Port Egress,10235,open
Port Egress,10236,open
Port Egress,10237,open
Port Egress,10238,open
Port Egress,10239,open
Port Egress,10240,open
Port Egress,10241,open
Port Egress,10242,open
Port Egress,10243,open
Port Egress,10244,open
Port Egress,10245,open
Port Egress,10246,open
Port Egress,10247,open
Port Egress,10248,open
Port Egress,10249,open
Port Egress,10250,open
Port Egress,10251,open
Port Egress,10252,open
Port Egress,10253,open
Port Egress,10254,open
Port Egress,10255,open
Port Egress,10256,open
Port Egress,10258,open
Port Egress,10257,open
Port Egress,10259,open
Port Egress,10260,open
Port Egress,10261,open
Port Egress,10262,open
Port Egress,10263,open
Port Egress,10264,open
Port Egress,10265,open
Port Egress,10266,open
Port Egress,10267,open
Port Egress,10268,open
Port Egress,10269,open
Port Egress,10270,open
Port Egress,10271,open
Port Egress,10272,open
Port Egress,10273,open
Port Egress,10274,open
Port Egress,10275,open
Port Egress,10276,open
Port Egress,10277,open
Port Egress,10278,open
Port Egress,10279,open
Port Egress,10280,open
Port Egress,10281,open
Port Egress,10283,open
Port Egress,10282,open
Port Egress,10284,open
Port Egress,10285,open
Port Egress,10286,open
Port Egress,10287,open
Port Egress,10288,open
Port Egress,10289,open
Port Egress,10290,open
Port Egress,10291,open
Port Egress,10292,open
Port Egress,10293,open
Port Egress,10295,open
Port Egress,10294,open
Port Egress,10297,open
Port Egress,10296,open
Port Egress,10298,open
Port Egress,10299,open
Port Egress,10300,open
Port Egress,10301,open
Port Egress,10302,open
Port Egress,10303,open
Port Egress,10304,open
Port Egress,10305,open
Port Egress,10306,open
Port Egress,10307,open
Port Egress,10308,open
Port Egress,10309,open
Port Egress,10310,open
Port Egress,10312,open
Port Egress,10311,open
Port Egress,10313,open
Port Egress,10314,open
Port Egress,10315,open
Port Egress,10316,open
Port Egress,10317,open
Port Egress,10319,open
Port Egress,10318,open
Port Egress,10320,open
Port Egress,10321,open
Port Egress,10322,open
Port Egress,10323,open
Port Egress,10324,open
Port Egress,10325,open
Port Egress,10326,open
Port Egress,10327,open
Port Egress,10329,open
Port Egress,10328,open
Port Egress,10330,open
Port Egress,10332,open
Port Egress,10333,open
Port Egress,10331,open
Port Egress,10335,open
Port Egress,10334,open
Port Egress,10336,open
Port Egress,10337,open
Port Egress,10338,open
Port Egress,10339,open
Port Egress,10340,open
Port Egress,10341,open
Port Egress,10342,open
Port Egress,10343,open
Port Egress,10344,open
Port Egress,10345,open
Port Egress,10346,open
Port Egress,10347,open
Port Egress,10348,open
Port Egress,10349,open
Port Egress,10350,open
Port Egress,10351,open
Port Egress,10352,open
Port Egress,10353,open
Port Egress,10354,open
Port Egress,10355,open
Port Egress,10356,open
Port Egress,10357,open
Port Egress,10358,open
Port Egress,10359,open
Port Egress,10360,open
Port Egress,10361,open
Port Egress,10362,open
Port Egress,10363,open
Port Egress,10364,open
Port Egress,10365,open
Port Egress,10366,open
Port Egress,10367,open
Port Egress,10368,open
Port Egress,10369,open
Port Egress,10370,open
Port Egress,10372,open
Port Egress,10371,open
Port Egress,10373,open
Port Egress,10375,open
Port Egress,10374,open
Port Egress,10376,open
Port Egress,10377,open
Port Egress,10378,open
Port Egress,10379,open
Port Egress,10380,open
Port Egress,10381,open
Port Egress,10382,open
Port Egress,10383,open
Port Egress,10384,open
Port Egress,10385,open
Port Egress,10386,open
Port Egress,10387,open
Port Egress,10388,open
Port Egress,10389,open
Port Egress,10390,open
Port Egress,10391,open
Port Egress,10393,open
Port Egress,10392,open
Port Egress,10394,open
Port Egress,10395,open
Port Egress,10397,open
Port Egress,10396,open
Port Egress,10398,open
Port Egress,10399,open
Port Egress,10400,open
Port Egress,10401,open
Port Egress,10402,open
Port Egress,10403,open
Port Egress,10404,open
Port Egress,10405,open
Port Egress,10406,open
Port Egress,10407,open
Port Egress,10409,open
Port Egress,10408,open
Port Egress,10411,open
Port Egress,10410,open
Port Egress,10412,open
Port Egress,10413,open
Port Egress,10414,open
Port Egress,10415,open
Port Egress,10416,open
Port Egress,10417,open
Port Egress,10418,open
Port Egress,10419,open
Port Egress,10420,open
Port Egress,10421,open
Port Egress,10423,open
Port Egress,10422,open
Port Egress,10424,open
Port Egress,10425,open
Port Egress,10426,open
Port Egress,10428,open
Port Egress,10427,open
Port Egress,10429,open
Port Egress,10430,open
Port Egress,10431,open
Port Egress,10432,open
Port Egress,10433,open
Port Egress,10434,open
Port Egress,10435,open
Port Egress,10436,open
Port Egress,10437,open
Port Egress,10438,open
Port Egress,10439,open
Port Egress,10440,open
Port Egress,10441,open
Port Egress,10442,open
Port Egress,10443,open
Port Egress,10444,open
Port Egress,10445,open
Port Egress,10446,open
Port Egress,10447,open
Port Egress,10449,open
Port Egress,10448,open
Port Egress,10450,open
Port Egress,10451,open
Port Egress,10452,open
Port Egress,10453,open
Port Egress,10454,open
Port Egress,10455,open
Port Egress,10457,open
Port Egress,10456,open
Port Egress,10458,open
Port Egress,10459,open
Port Egress,10460,open
Port Egress,10461,open
Port Egress,10462,open
Port Egress,10463,open
Port Egress,10464,open
Port Egress,10465,open
Port Egress,10466,open
Port Egress,10467,open
Port Egress,10468,open
Port Egress,10469,open
Port Egress,10470,open
Port Egress,10472,open
Port Egress,10471,open
Port Egress,10473,open
Port Egress,10474,open
Port Egress,10475,open
Port Egress,10476,open
Port Egress,10477,open
Port Egress,10478,open
Port Egress,10479,open
Port Egress,10480,open
Port Egress,10481,open
Port Egress,10482,open
Port Egress,10483,open
Port Egress,10484,open
Port Egress,10485,open
Port Egress,10486,open
Port Egress,10487,open
Port Egress,10488,open
Port Egress,10489,open
Port Egress,10490,open
Port Egress,10491,open
Port Egress,10492,open
Port Egress,10493,open
Port Egress,10494,open
Port Egress,10495,open
Port Egress,10496,open
Port Egress,10497,open
Port Egress,10498,open
Port Egress,10499,open
Port Egress,10500,open
Port Egress,10501,open
Port Egress,10503,open
Port Egress,10502,open
Port Egress,10504,open
Port Egress,10505,open
Port Egress,10506,open
Port Egress,10508,open
Port Egress,10507,open
Port Egress,10509,open
Port Egress,10510,open
Port Egress,10511,open
Port Egress,10512,open
Port Egress,10513,open
Port Egress,10514,open
Port Egress,10515,open
Port Egress,10516,open
Port Egress,10517,open
Port Egress,10518,open
Port Egress,10519,open
Port Egress,10520,open
Port Egress,10521,open
Port Egress,10522,open
Port Egress,10523,open
Port Egress,10524,open
Port Egress,10525,open
Port Egress,10526,open
Port Egress,10527,open
Port Egress,10528,open
Port Egress,10529,open
Port Egress,10531,open
Port Egress,10530,open
Port Egress,10532,open
Port Egress,10533,open
Port Egress,10534,open
Port Egress,10536,open
Port Egress,10535,open
Port Egress,10537,open
Port Egress,10538,open
Port Egress,10539,open
Port Egress,10540,open
Port Egress,10541,open
Port Egress,10542,open
Port Egress,10543,open
Port Egress,10544,open
Port Egress,10545,open
Port Egress,10546,open
Port Egress,10547,open
Port Egress,10548,open
Port Egress,10549,open
Port Egress,10550,open
Port Egress,10551,open
Port Egress,10552,open
Port Egress,10553,open
Port Egress,10554,open
Port Egress,10555,open
Port Egress,10556,open
Port Egress,10557,open
Port Egress,10558,open
Port Egress,10560,open
Port Egress,10559,open
Port Egress,10561,open
Port Egress,10562,open
Port Egress,10563,open
Port Egress,10564,open
Port Egress,10565,open
Port Egress,10566,open
Port Egress,10567,open
Port Egress,10568,open
Port Egress,10570,open
Port Egress,10569,open
Port Egress,10571,open
Port Egress,10573,open
Port Egress,10572,open
Port Egress,10574,open
Port Egress,10575,open
Port Egress,10576,open
Port Egress,10577,open
Port Egress,10578,open
Port Egress,10579,open
Port Egress,10580,open
Port Egress,10581,open
Port Egress,10582,open
Port Egress,10583,open
Port Egress,10584,open
Port Egress,10586,open
Port Egress,10585,open
Port Egress,10587,open
Port Egress,10588,open
Port Egress,10589,open
Port Egress,10590,open
Port Egress,10591,open
Port Egress,10592,open
Port Egress,10593,open
Port Egress,10594,open
Port Egress,10596,open
Port Egress,10595,open
Port Egress,10597,open
Port Egress,10598,open
Port Egress,10599,open
Port Egress,10600,open
Port Egress,10602,open
Port Egress,10601,open
Port Egress,10603,open
Port Egress,10604,open
Port Egress,10606,open
Port Egress,10605,open
Port Egress,10607,open
Port Egress,10608,open
Port Egress,10609,open
Port Egress,10610,open
Port Egress,10611,open
Port Egress,10612,open
Port Egress,10613,open
Port Egress,10614,open
Port Egress,10615,open
Port Egress,10616,open
Port Egress,10617,open
Port Egress,10618,open
Port Egress,10619,open
Port Egress,10620,open
Port Egress,10622,open
Port Egress,10621,open
Port Egress,10623,open
Port Egress,10624,open
Port Egress,10625,open
Port Egress,10626,open
Port Egress,10627,open
Port Egress,10628,open
Port Egress,10629,open
Port Egress,10630,open
Port Egress,10631,open
Port Egress,10632,open
Port Egress,10633,open
Port Egress,10635,open
Port Egress,10634,open
Port Egress,10637,open
Port Egress,10636,open
Port Egress,10638,open
Port Egress,10639,open
Port Egress,10640,open
Port Egress,10641,open
Port Egress,10642,open
Port Egress,10643,open
Port Egress,10644,open
Port Egress,10645,open
Port Egress,10646,open
Port Egress,10647,open
Port Egress,10648,open
Port Egress,10649,open
Port Egress,10650,open
Port Egress,10651,open
Port Egress,10652,open
Port Egress,10654,open
Port Egress,10653,open
Port Egress,10655,open
Port Egress,10656,open
Port Egress,10657,open
Port Egress,10658,open
Port Egress,10659,open
Port Egress,10660,open
Port Egress,10661,open
Port Egress,10662,open
Port Egress,10663,open
Port Egress,10664,open
Port Egress,10665,open
Port Egress,10666,open
Port Egress,10667,open
Port Egress,10668,open
Port Egress,10670,open
Port Egress,10669,open
Port Egress,10671,open
Port Egress,10672,open
Port Egress,10673,open
Port Egress,10674,open
Port Egress,10675,open
Port Egress,10676,open
Port Egress,10677,open
Port Egress,10678,open
Port Egress,10679,open
Port Egress,10680,open
Port Egress,10681,open
Port Egress,10682,open
Port Egress,10683,open
Port Egress,10684,open
Port Egress,10685,open
Port Egress,10686,open
Port Egress,10687,open
Port Egress,10688,open
Port Egress,10689,open
Port Egress,10690,open
Port Egress,10691,open
Port Egress,10692,open
Port Egress,10694,open
Port Egress,10696,open
Port Egress,10693,open
Port Egress,10695,open
Port Egress,10697,open
Port Egress,10698,open
Port Egress,10700,open
Port Egress,10701,open
Port Egress,10702,open
Port Egress,10703,open
Port Egress,10704,open
Port Egress,10705,open
Port Egress,10706,open
Port Egress,10707,open
Port Egress,10708,open
Port Egress,10709,open
Port Egress,10710,open
Port Egress,10711,open
Port Egress,10712,open
Port Egress,10713,open
Port Egress,10714,open
Port Egress,10715,open
Port Egress,10716,open
Port Egress,10717,open
Port Egress,10718,open
Port Egress,10719,open
Port Egress,10720,open
Port Egress,10721,open
Port Egress,10722,open
Port Egress,10723,open
Port Egress,10724,open
Port Egress,10726,open
Port Egress,10725,open
Port Egress,10727,open
Port Egress,10728,open
Port Egress,10729,open
Port Egress,10730,open
Port Egress,10731,open
Port Egress,10732,open
Port Egress,10733,open
Port Egress,10734,open
Port Egress,10736,open
Port Egress,10735,open
Port Egress,10737,open
Port Egress,10738,open
Port Egress,10739,open
Port Egress,10740,open
Port Egress,10741,open
Port Egress,10742,open
Port Egress,10743,open
Port Egress,10744,open
Port Egress,10745,open
Port Egress,10746,open
Port Egress,10747,open
Port Egress,10748,open
Port Egress,10749,open
Port Egress,10750,open
Port Egress,10751,open
Port Egress,10752,open
Port Egress,10753,open
Port Egress,10754,open
Port Egress,10756,open
Port Egress,10755,open
Port Egress,10757,open
Port Egress,10758,open
Port Egress,10759,open
Port Egress,10760,open
Port Egress,10761,open
Port Egress,10762,open
Port Egress,10763,open
Port Egress,10764,open
Port Egress,10766,open
Port Egress,10765,open
Port Egress,10767,open
Port Egress,10768,open
Port Egress,10769,open
Port Egress,10770,open
Port Egress,10772,open
Port Egress,10771,open
Port Egress,10774,open
Port Egress,10773,open
Port Egress,10775,open
Port Egress,10776,open
Port Egress,10777,open
Port Egress,10779,open
Port Egress,10778,open
Port Egress,10781,open
Port Egress,10780,open
Port Egress,10782,open
Port Egress,10783,open
Port Egress,10784,open
Port Egress,10785,open
Port Egress,10786,open
Port Egress,10787,open
Port Egress,10788,open
Port Egress,10789,open
Port Egress,10790,open
Port Egress,10791,open
Port Egress,10792,open
Port Egress,10795,open
Port Egress,10793,open
Port Egress,10794,open
Port Egress,10796,open
Port Egress,10797,open
Port Egress,10699,open
Port Egress,10798,open
Port Egress,10799,open
Port Egress,10800,open
Port Egress,10801,open
Port Egress,10802,open
Port Egress,10803,open
Port Egress,10804,open
Port Egress,10805,open
Port Egress,10806,open
Port Egress,10807,open
Port Egress,10808,open
Port Egress,10809,open
Port Egress,10810,open
Port Egress,10811,open
Port Egress,10812,open
Port Egress,10814,open
Port Egress,10813,open
Port Egress,10815,open
Port Egress,10816,open
Port Egress,10817,open
Port Egress,10818,open
Port Egress,10819,open
Port Egress,10820,open
Port Egress,10821,open
Port Egress,10822,open
Port Egress,10823,open
Port Egress,10824,open
Port Egress,10825,open
Port Egress,10826,open
Port Egress,10828,open
Port Egress,10827,open
Port Egress,10829,open
Port Egress,10830,open
Port Egress,10831,open
